uniq_id,city,guest_recommendation,hotel_category,hotel_star_rating,image_count,property_type,room_area,room_count,site_review_count,site_review_rating,state
d1714124c3c759f58a659241462e19c0,Puri,77,regular,3,30,Resort,12 X 12 Sq.ft.,121,49,4.1,Orissa
49858428e291d0d2d8c1d8d7af824ded,Rewari,87,regular,3,7,Hotel,14 X 15 Sq.ft.,30,120,4.2,Haryana
418aaacea3fd223636f0eb39f9a0d760,Goa,73,regular,1,23,Hotel,18 X 12 Sq.ft.,20,63,3.5,Goa
782970737cf205109105597ef846b608,Udaipur,90,regular,4,62,Hotel,12 X 12 Sq.ft.,39,21,4.6,Rajasthan
67b5b7ff271a9826155d8aa309cf0fb1,Thiruvananthapuram,85,regular,3,9,Hotel,14 X 14 Sq.ft.,80,119,4.4,Kerala
59a3761577beca2d91dfe8eafa266e7e,Ernakulam,60,regular,3,39,Hotel,12 X 12 Sq.ft.,26,5,4.8,Kerala
d0c875371d2c897a73ec1fdaf32f3c24,Ranchi,64,regular,4,29,Hotel,17 X 17 Sq.ft.,6,25,4.2,Jharkhand
7ba29f0d37a59430b15a0fade3f026bb,Shimla,76,regular,3,16,Hotel,12 X 12 Sq.ft.,36,219,3.9,Himachal Pradesh
7cc867b69c30a3e132446fba0e148cdc,Puri,64,regular,0,10,Lodge,12 X 12 Sq.ft.,8,48,3.9,Orissa
dd5cef52ae364ff6ee4b1f4044dc29c5,Chennai,100,regular,0,21,Service Apartment,20 X 15 Sq.ft.,21,25,4.6,Tamil Nadu
cbbd8807f03e23ed4e80f7319ea7caed,Goa,76,regular,0,4,Guest House,15 X 10 Sq.ft.,3,13,4.6,Goa
a0fb60c305dc79f69cedbeb4657502dd,Rishikesh,100,regular,5,6,Tent,14 X 14 Sq.ft.,1,2,5,Uttarakhand
73da1038bbf861de697c0f6827ee1f0a,Goa,59,regular,0,24,Hotel,12 X 12 Sq.ft.,21,22,3.7,Goa
0e1db32f202bee0fb72d9e20a493e6dc,Goa,92,gostays,3,32,Hotel,22 X 22 Sq.ft.,4,25,4.6,Goa
8d603b5b9aa5ce3cbc33d8c9e5df9113,Jaisalmer,59,regular,0,10,Tent,14 X 26 Sq.ft.,16,59,3.7,Rajasthan
2c89e2747e9827941be16074edcb4ab8,Delhi,75,regular,1,0,Hotel,16 X 14 Sq.ft.,12,32,3.7,Delhi
b53cb7516e043f711480fa6a40f7674a,Goa,79,gostays,2,6,Hotel,12 X 12 Sq.ft.,10,134,4.1,Goa
a0c38b9c7c3c12869cbdc6aaafe5c3d9,Patna,85,regular,0,12,Hotel,12 X 12 Sq.ft.,29,20,4,Bihar
33aa79a6e41ea6dc46df152e4b0fe9d1,Bharatpur,75,regular,3,31,Resort,13 X 13 Sq.ft.,11,8,4.5,Rajasthan
f16cdbb9483a338ea57eb63b03dd166c,Goa,81,regular,0,23,Cottage,25 X 12 Sq.ft.,22,11,3.7,Goa
1d97322b0b72e184488c3273e96e59b5,Mandarmani,82,regular,2,12,Hotel,15 X 13 Sq.ft.,20,185,4.2,West Bengal
82d86a7e18456582bae1d09668c795e2,Ahmedabad,61,regular,4,11,Hotel,17 X 17 Sq.ft.,125,55,2.9,Gujarat
6db62212bdca0d4bfc9c7bbef4228ad2,Kotagiri,78,regular,1,40,Resort,15 X 15 Sq.ft.,9,19,3,Tamil Nadu
a087de92703f4b4f2dad802b3c1be473,Goa,100,regular,0,28,Hotel,14 X 14 Sq.ft.,1,1,4,Goa
55ff53256d5406bd4d7a2ec3508534d6,Noida,40,regular,0,24,Service Apartment,16 X 16 Sq.ft.,17,15,3.5,Uttar Pradesh
df44f065a51982bc01df9b26c7ea7794,Chennai,75,regular,0,8,Hotel,12 X 16 Sq.ft.,3,84,3.7,Tamil Nadu
2ac4588cc3ff861d4ef501b509b8eb4f,Leh,100,regular,2,12,Hotel,12 X 15 Sq.ft.,15,1,2,Jammu and Kashmir
8bd79ae4831dd9d82ffd7ce7759b2b48,Goa,100,regular,3,14,Resort,16 X 16 Sq.ft.,15,5,3.8,Goa
b8be501040bffe5c8f0b2476cecbe03d,Chittorgarh,25,regular,4,25,Hotel,14 X 14 Sq.ft.,30,4,2.3,Rajasthan
321d62141b55e9ae65d9b1472fd7ba8b,Thekkady,68,regular,4,36,Resort,200 X 100 Sq.ft.,18,32,4.3,Kerala
92bce8cbcba576cbb0910fb077ed4a06,Ooty,72,regular,3,15,Resort,14 X 14 Sq.ft.,13,18,3.6,Tamil Nadu
6eb57ace2cd1053d5dd31dfeb555c880,Noida,0,regular,0,21,BnB,12 X 15 Sq.ft.,14,1,5,Uttar Pradesh
aaa9a7c9705cafc1689797fc9927645e,Leh,82,regular,0,24,Tent,10 X 10 Sq.ft.,15,17,4.7,Jammu and Kashmir
44efb1ae1f9dc3508eb047ae6d4ea111,Ernakulam,85,regular,5,16,Hotel,12 X 12 Sq.ft.,99,20,4.3,Kerala
48691bfd27b46542de71a70eccf83966,Jodhpur,82,gostays,3,13,Hotel,24 X 13 Sq.ft.,10,231,4.5,Rajasthan
050ffc8cb53038eaafcc6f5fe52e69ae,Panchgani,69,regular,3,12,Resort,12 X 16 Sq.ft.,40,73,3.8,Maharashtra
4ec95348910f562ce44a38751d1589ed,Bangalore,32,regular,0,1,Lodge,9 X 9 Sq.ft.,10,31,1.7,Karnataka
1fbdcdad776807a869ef5e301a87e79f,Wayanad,83,regular,4,67,Resort,16 X 16 Sq.ft.,21,6,4.4,Kerala
2ce18ad104d74e18e4bcc9422e76baca,Jaipur,66,regular,0,20,Hostel,15 X 15 Sq.ft.,33,3,3.7,Rajasthan
05fe596d4b04d1799164314fcbb7730f,Pahalgam,82,regular,3,18,Bungalow,18 X 14 Sq.ft.,13,50,4.3,Jammu and Kashmir
0aecabc6a7146470919f08bc9933969b,Ernakulam,60,regular,3,6,Hotel,15 X 15 Sq.ft.,79,45,3.9,Kerala
988e868a16a8f7072ad6f80d800df86f,Pune,75,regular,3,22,Hotel,12 X 12 Sq.ft.,16,8,3.8,Maharashtra
da736a57000566e001df08ecb7058126,Munnar,94,regular,0,6,Homestay,50 X 40 Sq.ft.,3,19,4.7,Kerala
b808f53fb9eb6cae14bc826fb519e1b2,Delhi,90,regular,3,27,Hotel,12 X 12 Sq.ft.,15,72,4.2,Delhi
d77a088f805496c8e5d5c60fc7a71abd,Goa,85,gostays,2,33,Hotel,16 X 16 Sq.ft.,24,516,4.3,Goa
e739aadfc0d8548537655a970e979eb6,Manali,80,regular,4,45,Resort,15 X 15 Sq.ft.,44,15,4.1,Himachal Pradesh
525e2e226df4b51c8d86253db8956bfc,Shimla,54,regular,2,31,Hotel,17.5 X 11 Sq.ft.,43,42,3,Himachal Pradesh
6436d9a42b4d5f872a156d882d54ce01,Manali,42,regular,3,22,Resort,12 X 14 Sq.ft.,43,7,3.9,Himachal Pradesh
ca006d18da1afc7f70c43d72ad27ebd7,Leh,100,regular,0,20,Hotel,14 X 14 Sq.ft.,5,5,4.7,Jammu and Kashmir
a538228e1cee6cd036ab22fc0464c0c3,Rishikesh,100,regular,3,10,Tent,14 X 14 Sq.ft.,23,7,4.5,Uttarakhand
73c53d7164eb8ad191ba89f91d2d577a,Delhi,73,regular,0,9,Hotel,14 X 14 Sq.ft.,30,23,3.2,Delhi
7a237b750d993200db4081030adc5fe1,Coorg,86,regular,0,23,Homestay,30 X 25 Sq.ft.,6,104,4.7,Karnataka
ecb9688fbc54f69cc1c899b0d539f21b,Masinagudi,100,regular,0,32,Cottage,14 X 14 Sq.ft.,12,13,4.1,Tamil Nadu
5455d932454abeeaeda8b76037010a7e,Haridwar,57,regular,2,8,Hotel,18 X 18 Sq.ft.,22,26,3,Uttarakhand
49dd682fab517efea1c2643019301636,Chandigarh,85,regular,2,16,Hotel,16 X 16 Sq.ft.,9,120,3.9,Punjab
851fd88c0052cd5f1142f67aa7679cdf,Pondicherry,81,regular,4,7,Resort,12 X 12 Sq.ft.,129,79,3.9,Pondicherry
f8fa15e9be6a8dc8c27b2df5a04ffcdb,Corbett,90,regular,3,9,Resort,16 X 16 Sq.ft.,65,21,2.9,Uttarakhand
38175121c5eebdeb5e6907e868182981,Indore,83,regular,4,17,Hotel,12 X 12 Sq.ft.,15,333,4.4,Madhya Pradesh
b900d579c7e8346d98c04605743b435f,Coorg,84,regular,4,46,Resort,12 X 12 Sq.ft.,101,176,4.4,Karnataka
40a3f1fb32001d90109855cfc2fa887a,Gurgaon,80,regular,4,13,Hotel,10 X 12 Sq.ft.,44,94,4.1,Haryana
9dc823cada58a6b2e7db4202dd5c879a,Munnar,82,regular,4,20,Hotel,22 X 14 Sq.ft.,20,88,4.2,Kerala
76630b860f965159084401fc6048af2b,Pune,58,regular,0,5,Service Apartment,15 X 15 Sq.ft.,6,43,3.3,Maharashtra
688070b8e5048a9764f082a1f7a68c03,Jaisalmer,76,regular,3,22,Tent,28 X 14 Sq.ft.,50,25,4.1,Rajasthan
28a73e9c4ae9a739ffc681ebf84df578,Corbett,83,regular,3,9,Resort,14 X 14 Sq.ft.,22,85,4,Uttarakhand
df6343b82675f4d2a614086b4ad47c15,Gurgaon,60,regular,0,7,Hotel,10 X 12 Sq.ft.,38,10,2.9,Haryana
1e3699185822c4bc1424daa12146c24e,Goa,85,regular,4,11,Resort,18 X 18 Sq.ft.,27,70,4,Goa
767535f0dc7ab67f5865d45b2c397dc1,Gurgaon,83,regular,0,25,BnB,12 X 15 Sq.ft.,13,6,4.3,Haryana
e5820325cba5fcd7ced5e1694f3d35c8,Coimbatore,100,regular,0,5,Service Apartment,10 X 11 Sq.ft.,7,9,4.5,Tamil Nadu
b040cc3680b700a8824e8157b6ee1a58,Goa,57,regular,0,8,Beach Hut,16 X 16 Sq.ft.,26,7,3.8,Goa
d9cc9a67aba417f4b40b063e05a00e06,Hyderabad,100,regular,1,2,Guest House,10 X 10 Sq.ft.,10,1,3.6,Andhra Pradesh
93e5a27402bfb6af4ccb12e4e1134ac7,Goa,86,regular,4,15,Resort,14 X 14 Sq.ft.,92,249,4.4,Goa
186196507b5e1c41783fdcc516d2663d,Goa,84,regular,4,7,Resort,14 X 14 Sq.ft.,126,13,4.5,Goa
af555f502741d7a3bda1a45295aede54,Amritsar,66,regular,3,9,Hotel,15 X 15 Sq.ft.,5,48,3.6,Punjab
236ff85e3be652a61678ea636fbc6f63,Gangtok,70,regular,2,23,Hotel,12 X 15 Sq.ft.,10,140,3.1,Sikkim
81494c21b043767deb1fef167853aece,Goa,72,regular,3,16,Resort,14 X 14 Sq.ft.,60,18,3.5,Goa
805368154f4373fc46d6da8d19848df8,Kangra,76,regular,3,35,Hotel,12 X 12 Sq.ft.,10,21,4.1,Himachal Pradesh
711ebbaaf757f4ae9722e75b27e7c6d0,Coorg,73,regular,3,5,Resort,19 X 19 Sq.ft.,10,89,3.5,Karnataka
3ffc0b8ff3a6aeaf24cff3f70324bdbe,Gurgaon,88,regular,0,31,Homestay,10 X 8 Sq.ft.,6,25,4.8,Haryana
50813bb793490fa3bdd2a06be7000610,Silvassa,68,regular,4,2,Resort,12 X 18 Sq.ft.,53,74,3.6,Dadra and Nagar Haveli
47cd564c9ec88dc4cdb79b7101c919ea,Agra,100,regular,0,8,Hotel,10 X 8 Sq.ft.,18,8,3.5,Uttar Pradesh
3bd55f08dde4f64686e197334e5b2058,Delhi,54,regular,4,16,Hotel,15 X 15 Sq.ft.,39,11,3.1,Delhi
3242bbc128f47d350d65227943d95f28,Agra,85,regular,3,9,Hotel,11 X 11 Sq.ft.,15,20,3.9,Uttar Pradesh
6864a129027903a8724ab1d518d9ed2f,Bangalore,82,regular,4,11,Hotel,17 X 17 Sq.ft.,100,185,4.5,Karnataka
91b1138d8b8fca18a45b0c1f51a083b0,Katra,88,regular,4,50,Hotel,22 X 18 Sq.ft.,76,201,4.7,Jammu and Kashmir
83a08ffe62aea4889337dd81728cc340,Ooty,72,regular,4,19,Resort,12 X 10 Sq.ft.,94,55,3.8,Tamil Nadu
21bc1a34ec6a04f08a436d0c590c19ca,Goa,81,gostays,3,8,Hotel,25 X 25 Sq.ft.,14,143,3.9,Goa
f01c741cbeee448215762f6635249334,Pune,86,regular,4,14,Hotel,23 X 23 Sq.ft.,30,90,4.6,Maharashtra
222e5c9cdd3d55f1f3f8465b388faca8,Pune,62,regular,0,16,Service Apartment,360 X 400 Sq.ft.,10,8,3.8,Maharashtra
6848723c97c6a756040546d05a429c65,Ghaziabad,52,regular,3,7,Hotel,16 X 16 Sq.ft.,27,46,2.8,Uttar Pradesh
47104ec593d58aedcfbf744278c2e837,Auli,70,regular,4,12,Resort,23 X 23 Sq.ft.,29,17,3.1,Uttarakhand
901c1844ebfcfee8229dcd864d50acfb,Panaji,82,regular,4,11,Hotel,12 X 14 Sq.ft.,20,84,4,Goa
18cb94f96afa22ffb1379266e9264194,Bangalore,82,gostays,3,31,Hotel,14 X 14 Sq.ft.,10,124,4.1,Karnataka
8ce6e3e18dc4ddf3b973764d26b62fb4,Delhi,91,regular,5,13,Hotel,25 X 25 Sq.ft.,44,35,4.4,Delhi
b77beb48acfc2e0967e653e0f1d1243e,Chandigarh,81,regular,5,16,Resort,15 X 15 Sq.ft.,39,60,3.5,Punjab
318c52679a0eadcd23431ddf46c32bf2,Gurgaon,91,regular,4,41,Hotel,16 X 16 Sq.ft.,129,70,4.5,Haryana
a9c6e3ea45a257b08ff976faf8db01c0,Bandipur,95,regular,0,16,Homestay,16 X 16 Sq.ft.,5,23,4.8,Karnataka
36013084590bec36955d7b02e4b4fed9,Hyderabad,69,regular,0,13,Service Apartment,10 X 12 Sq.ft.,28,13,3.4,Andhra Pradesh
54e55360697b3790046881eb2a66e60f,Chennai,100,regular,0,18,Service Apartment,14 X 14 Sq.ft.,9,4,4.5,Tamil Nadu
c067c4f171d145df2641886d9aa4bb75,Rishikesh,100,regular,3,10,Resort,12 X 12 Sq.ft.,20,1,5,Uttarakhand
19c2fc263551d57b69fb1a8f88853afa,Bangalore,84,regular,3,24,Hotel,15 X 15 Sq.ft.,68,159,4.2,Karnataka
5e5590f3bf55122b4f523aa9e760c11c,Indore,25,regular,0,5,Hotel,12 X 12 Sq.ft.,17,4,4.1,Madhya Pradesh
deb628e11bcdaf390f632a5236d41cb1,Kolkata,90,regular,0,32,Guest House,13 X 13 Sq.ft.,15,10,4,West Bengal
0d201c74ff02f4258981aab179a73b98,Chennai,77,regular,3,28,Service Apartment,15 X 15 Sq.ft.,37,31,3.7,Tamil Nadu
38b7cac19b42dd074706450aa3584f40,Hyderabad,75,regular,3,31,Hotel,15 X 15 Sq.ft.,80,564,3.7,Andhra Pradesh
14f047b58926db8ca403aa2f15160a84,Shimla,62,regular,3,8,Homestay,22 X 14 Sq.ft.,3,8,3.3,Himachal Pradesh
49912fbaf6638b23003c4e9c4b11b4c8,Tirupati,85,regular,5,43,Hotel,12 X 13 Sq.ft.,113,663,4.5,Andhra Pradesh
52dd4c3cf14a1e231e43552759cc3aef,Chennai,54,regular,2,17,Hotel,14 X 14 Sq.ft.,40,73,2.8,Tamil Nadu
e2914ceb349ed725939336c40eeeb6de,Indore,80,regular,5,10,Hotel,17 X 17 Sq.ft.,113,61,4.3,Madhya Pradesh
754a354c8624ed613cd8e45235c4cd91,Varanasi,84,regular,3,11,Hotel,12 X 15.5 Sq.ft.,40,66,4.1,Uttar Pradesh
aff74c52488a354f1a1a3fca08501554,Pune,83,regular,3,26,Hotel,15 X 15 Sq.ft.,30,73,3.9,Maharashtra
bb71280497edf50eafe3b10c73e75586,Bangalore,70,regular,3,21,Resort,16 X 16 Sq.ft.,16,47,3.4,Karnataka
cccaac1d11a0541c739225f0a8160b98,Chennai,66,regular,1,13,Hotel,10 X 10 Sq.ft.,8,3,3.2,Tamil Nadu
59c6d7c2c361bfe685a8d6059b80a0d5,Udaipur,100,regular,0,20,BnB,15 X 17 Sq.ft.,6,11,4.9,Rajasthan
10cec95481331598accf86855a9241fd,Hyderabad,80,regular,0,14,Hotel,12 X 12 Sq.ft.,45,41,3.4,Andhra Pradesh
9621ecb017059d7f69f61e81c4a38ceb,Goa,73,regular,3,48,Resort,15 X 15 Sq.ft.,27,26,3.1,Goa
ca14631f758656c5f9132a40bc3f76c7,Srinagar,100,regular,0,5,Houseboat,13 X 14 Sq.ft.,4,2,4.8,Jammu and Kashmir
297ecf89a120960a90c84e3d3a991fe2,Delhi,86,regular,3,32,Hotel,15 X 15 Sq.ft.,60,97,4.2,Delhi
c6a4f7ef36fed5bd0a68f2ae0d59fbeb,Mumbai,70,regular,3,25,Service Apartment,20 X 20 Sq.ft.,7,10,3.7,Maharashtra
8934ddbad18450c589ec835c5cfb0587,Bangalore,71,regular,5,15,Hotel,17 X 17 Sq.ft.,130,60,3.7,Karnataka
e910d42ce6bfafe65321f20a00f9604b,Goa,79,regular,4,47,Resort,19 X 19 Sq.ft.,131,2094,4.1,Goa
66d9ac94348fd95757a0cf47f1b8b434,Wayanad,90,regular,3,31,Resort,20 X 16 Sq.ft.,13,30,3.9,Kerala
a197833785f55dba568e3501dfd3fba0,Nainital,62,regular,3,26,Resort,10 X 12 Sq.ft.,17,8,3.4,Uttarakhand
f0df1726ada27ad118d33de9b30625ed,Chennai,77,regular,0,10,Guest House,14 X 14 Sq.ft.,12,9,4.1,Tamil Nadu
858832b13d3ae9ee67c8e9d36d01ecd2,Pune,79,regular,3,26,Hotel,15 X 15 Sq.ft.,48,181,3.8,Maharashtra
e4a30814959315656d951396ca9fbdad,Alibaug,80,regular,3,36,Resort,14 X 14 Sq.ft.,20,70,4,Maharashtra
36bd68c1744733b6d46166cf495ed361,Hyderabad,84,regular,3,28,Hotel,15 X 15 Sq.ft.,60,96,4.1,Andhra Pradesh
6d913c1eef5946a312e5a5029650c852,Pahalgam,80,regular,2,24,Cottage,10 X 13 Sq.ft.,8,10,4,Jammu and Kashmir
d8d4253747207427c9dd219b78096f9e,Delhi,92,regular,0,10,BnB,13 X 12.5 Sq.ft.,14,52,4.3,Delhi
8c8d86699b3958ce9456fe5673685fc6,Bangalore,69,regular,1,7,Hotel,15 X 10 Sq.ft.,18,68,3.5,Karnataka
2bf15934c8f52e3ed3a4a2c367b31534,Pelling,42,regular,0,8,Hotel,22 X 28 Sq.ft.,17,7,2.6,Sikkim
5ce1f035e48bdf58195751bbad1b5fe3,Jaipur,80,regular,3,21,Hotel,15 X 15 Sq.ft.,33,127,4,Rajasthan
9abbe6308ecb68d5ef1cd3bb4a104495,Gurgaon,80,regular,0,6,Service Apartment,12 X 12 Sq.ft.,21,5,4.8,Haryana
97c5f25184b76d8014a6ed1ac0d47fc4,Bangalore,86,regular,0,5,Hotel,300 X 300 Sq.ft.,10,15,3.5,Karnataka
96bf43391eaa46bd3cc00bde5a2a3b20,Bangalore,81,regular,3,33,Hotel,15 X 15 Sq.ft.,52,27,3.9,Karnataka
1aabc42b1ecdb4e3db5b09e64bfc667d,Bangalore,77,gostays,3,29,Hotel,15 X 15 Sq.ft.,19,54,3.5,Karnataka
555669dabb431ba9139531f6434c3165,Jaipur,80,gostays,3,29,Hotel,14 X 14 Sq.ft.,33,145,4.3,Rajasthan
91158f40e1abf6146fb84cb045cb50f9,Goa,75,regular,0,17,Service Apartment,18 X 18 Sq.ft.,4,8,4.8,Goa
c9dfb3fa9fdc21c2129bf97c0f1dd5bf,Patna,69,regular,2,12,Hotel,10 X 12 Sq.ft.,8,23,3.7,Bihar
35f91fdffb12055478cc6028243cd12d,Chennai,80,regular,4,26,Hotel,19 X 19 Sq.ft.,45,70,4.5,Tamil Nadu
935d2d12c3502244214ad803c4bdad39,Aurangabad,100,regular,3,15,Resort,180 X 185 Sq.ft.,12,5,4.5,Maharashtra
24e9dd5c6f81ba4403c9406731747284,Mount Abu,81,gostays,3,25,Homestay,15 X 15 Sq.ft.,5,38,4.6,Rajasthan
b562b1e08a924b074b73b71dd661437c,Gurgaon,85,regular,3,37,Hotel,15 X 15 Sq.ft.,30,97,4.1,Haryana
26f16caab8106699c93f68249225646e,Delhi,57,regular,3,25,Hotel,14 X 14 Sq.ft.,24,14,3.9,Delhi
255ac073f4ceb10700d058d3a5475b46,Bhimavaram,76,regular,3,3,Hotel,10 X 12 Sq.ft.,7,13,3.9,Andhra Pradesh
ab3fd1a561956d74e879fd2e07b01b54,Goa,69,regular,3,33,Hotel,15 X 15 Sq.ft.,40,55,3.5,Goa
f81a5fd0e82c3822baf2070317c45053,Pune,100,regular,3,29,Hotel,10 X 14 Sq.ft.,40,13,4.1,Maharashtra
1549dd44854ac3b72dea8f2d16204be3,Gurgaon,81,gostays,3,32,Hotel,14 X 14 Sq.ft.,26,100,3.8,Haryana
83a9b523f577fca4d39d4d4e279c745a,Mahabaleshwar,82,regular,3,13,Hotel,12 X 16 Sq.ft.,16,76,4.2,Maharashtra
c3848ffcfbba2fa88ab5fbdf9f5e9a11,Udaipur,70,regular,0,23,Guest House,10 X 10 Sq.ft.,8,41,3.7,Rajasthan
e236864f65a0c1424895a6de70ef9897,Gurgaon,86,regular,4,15,Hotel,16 X 16 Sq.ft.,107,15,4.4,Haryana
08e80f4b54cb58841def91b2935b035f,Thiruvananthapuram,81,regular,2,11,Hotel,14 X 14 Sq.ft.,20,27,3.5,Kerala
9a918153d86dadaeb6ef318e4d6630f2,Munnar,100,regular,3,53,Resort,15 X 20 Sq.ft.,5,4,4.5,Kerala
